vendor,city,scene_l1,scene_l2,operator,test_distance_km,test_duration_h,avg_speed_kmh,x1_平均RSRP,x1_平均SINR,x1_覆盖率1,x1_覆盖率2,x2_平均RSRP,x2_平均SINR,x2_覆盖率1,x2_覆盖率2
7715b7194cb0b2308630075510656066,H,驶测,骑行道,移动,2.577,0.546,4.71978021978022,-59.8300132802125,10.3298167330677,0.9800796812749,0.9800796812749,-60.9916610169492,10.0463644067797,0.983050847457627,0.983050847457627
7715b7194cb0b2308630075510656066,H,驶测,骑行道,电信,2.577,0.546,4.71978021978022,-68.4649933949802,3.19497225891678,0.922060766182299,0.922060766182299,-69.9032941176471,2.3978487394958,0.890756302521008,0.890756302521008
7715b7194cb0b2308630075510656066,H,驶测,骑行道,移动,2.577,0.546,4.71978021978022,-73.0104031209363,8.20936540962289,0.957087126137841,0.957087126137841,-71.8754224137931,9.13822413793103,0.982758620689655,0.982758620689655
7715b7194cb0b2308630075510656066,H,驶测,骑行道,移动,2.794,0.965,2.89533678756477,-53.8271513353116,7.37710979228487,0.98813056379822,0.98813056379822,-53.252,8.54808130081301,0.991869918699187,0.991869918699187
7715b7194cb0b2308630075510656066,H,驶测,骑行道,电信,2.794,0.965,2.89533678756477,-61.2780303030303,5.31375681818182,0.95,0.95,-61.7721382113821,5.16786991869919,0.943089430894309,0.943089430894309
7715b7194cb0b2308630075510656066,H,驶测,骑行道,移动,2.794,0.965,2.89533678756477,-72.9525244913338,6.33965561416729,0.966088922381311,0.966088922381311,-72.4978360655738,6.59096721311475,0.983606557377049,0.983606557377049
7715b7194cb0b2308630075510656066,H,驶测,骑行道,移动,4.802,1.0,4.802,-68.4677023712183,8.05360793131644,0.988961569910057,0.988961569910057,-69.9562844827586,7.7772025862069,0.995689655172414,0.995689655172414
7715b7194cb0b2308630075510656066,H,驶测,骑行道,电信,4.802,1.0,4.802,-75.0817204301075,5.3669146953405,0.957706093189964,0.957706093189964,-74.859331838565,5.5167264573991,0.946188340807175,0.946188340807175
7715b7194cb0b2308630075510656066,H,驶测,骑行道,移动,4.802,1.0,4.802,-76.8048611111111,7.00635625,0.920138888888889,0.920138888888889,-76.3545982142857,6.98345089285714,0.9375,0.9375
7715b7194cb0b2308630075510656066,H,驶测,骑行道,移动,0.965,0.215,4.48837209302326,-60.004854368932,9.84468932038835,0.951456310679612,0.951456310679612,-59.4945106382979,9.98625531914894,0.978723404255319,0.978723404255319
7715b7194cb0b2308630075510656066,H,驶测,骑行道,电信,0.965,0.215,4.48837209302326,-73.8211920529801,4.08002317880795,0.996688741721854,0.996688741721854,-73.7453958333333,4.2685625,1.0,1.0
